"From","To"
"4280","16770"
"4280","16771"
"4280","16775"
"4280","16776"
"5274","5276"
"5276","5274"
"5276","25191"
"5482","10324"
"5482","10606"
"5482","17567"
"5652","9670"
"5652","9672"
"5703","14180"
"5710","5652"
"5710","45468"
"9670","5652"
"9670","9672"
"9670","16091"
"9672","5652"
"9672","9670"
"9672","16091"
"10324","5482"
"10324","10606"
"10324","10612"
"10324","35898"
"10606","5482"
"10606","10324"
"10606","10612"
"10606","35897"
"10606","35898"
"10612","5482"
"10612","10324"
"10612","10606"
"10656","16091"
"11009","24718"
"11009","39263"
"12182","12183"
"12183","12182"
"12183","93805"
"14180","5703"
"14180","14349"
"14349","5703"
"14349","14180"
"14349","20299"
"16091","10656"
"16770","4280"
"16770","16771"
"16770","16776"
"16771","4280"
"16771","16770"
"16771","16775"
"16771","16776"
"16775","4280"
"16775","16770"
"16775","16771"
"16776","4280"
"16776","16770"
"16776","16771"
"16844","43517"
"17567","5482"
"17567","5652"
"19266","65963"
"19266","106803"
"20299","5703"
"20299","14349"
"20299","16091"
"21177","35367"
"21177","35369"
"21305","5703"
"21305","42272"
"21305","66529"
"21305","66530"
"24711","24712"
"24711","24715"
"24711","24718"
"24712","24711"
"24712","24715"
"24712","24718"
"24712","27565"
"24715","10656"
"24715","24711"
"24715","24712"
"24715","24718"
"24718","27565"
"24718","27570"
"24718","27571"
"24718","27573"
"25191","5274"
"25191","5276"
"26008","26011"
"26011","26008"
"26776","44506"
"26776","50184"
"26776","143861"
"27565","24718"
"27565","27570"
"27565","27571"
"27570","24718"
"27570","27565"
"27570","27571"
"27571","24718"
"27571","27565"
"27571","27570"
"27573","24718"
"31064","40277"
"31064","65963"
"31976","10656"
"32916","106211"
"32916","106214"
"35367","21177"
"35367","26776"
"35367","150042"
"35369","21177"
"35369","40276"
"35369","40277"
"35897","10324"
"35897","10606"
"35897","10612"
"35897","35898"
"35897","66530"
"35898","5482"
"35898","10324"
"35898","10606"
"35898","35897"
"35933","27565"
"35933","27571"
"35933","55506"
"38314","26776"
"38314","72167"
"38314","72171"
"38314","72172"
"39263","11009"
"39263","24711"
"39263","24718"
"40276","35369"
"40276","164541"
"40276","164542"
"40277","31064"
"42272","5703"
"42272","21305"
"42272","46246"
"42275","61722"
"42275","61724"
"42275","61727"
"42591","42593"
"42591","42596"
"42591","165743"
"42593","27565"
"42593","42591"
"42593","42596"
"42593","61795"
"42593","62096"
"42596","42591"
"42596","42593"
"43517","19610"
"43517","43519"
"43517","54712"
"43519","19610"
"43519","21722"
"43519","43517"
"43519","54712"
"43522","21722"
"43522","98993"
"44506","26776"
"45468","5710"
"45895","82403"
"46246","5703"
"46246","42272"
"46246","81694"
"46614","19610"
"46614","21722"
"46614","43519"
"48830","17567"
"49814","27565"
"49814","27570"
"49814","27571"
"50149","26776"
"50184","26776"
"50184","44506"
"54712","19610"
"54712","43517"
"54712","43519"
"54712","172992"
"55506","27565"
"55506","27571"
"55506","35933"
"55506","61795"
"57093","21177"
"57093","94681"
"57093","106803"
"57093","188046"
"57362","42275"
"57519","21722"
"57519","27573"
"58722","26011"
"59339","21722"
"60344","21722"
"60344","24718"
"60344","27565"
"60631","5652"
"61722","42275"
"61722","61724"
"61724","42275"
"61724","61722"
"61727","42275"
"61727","61722"
"61727","196046"
"61795","27565"
"61795","27570"
"61795","42593"
"61795","62096"
"62096","27565"
"62096","27570"
"62096","42593"
"62096","61795"
"64010","64011"
"64010","92863"
"64011","21722"
"64011","64010"
"65963","31064"
"65963","40277"
"66529","21305"
"66530","10324"
"66530","10606"
"66530","21305"
"66530","35897"
"66530","35898"
"66530","96960"
"67122","200864"
"67122","263043"
"67122","263044"
"69909","21177"
"71164","71165"
"71164","94689"
"71165","71164"
"71165","100785"
"71165","148410"
"71642","42272"
"71642","46246"
"71642","71644"
"71642","186085"
"71644","71642"
"71644","82403"
"72167","38314"
"72167","72171"
"72171","38314"
"72171","72167"
"72171","143861"
"72172","26776"
"72172","38314"
"72595","21722"
"72595","94260"
"72595","94263"
"72595","94264"
"72595","94265"
"73377","27565"
"73377","62096"
"75023","100626"
"79367","26776"
"79367","110164"
"79367","110165"
"81278","26776"
"81278","27573"
"81694","46246"
"82403","45895"
"82403","71644"
"82710","103460"
"83671","19610"
"83671","83672"
"83671","83673"
"83671","119259"
"83672","43519"
"83672","83671"
"83672","83673"
"83673","83671"
"83673","83672"
"83673","119259"
"83673","146565"
"83673","152165"
"86680","5482"
"86680","10324"
"86680","10612"
"86722","42591"
"86722","60629"
"86722","112836"
"86761","26776"
"87296","87297"
"87296","122659"
"87297","87296"
"87297","111189"
"87297","122659"
"88697","5710"
"88697","103684"
"91554","26011"
"92863","64010"
"92863","200864"
"93200","27573"
"93200","57519"
"93664","19610"
"93664","305672"
"93664","305673"
"93805","12182"
"93805","12183"
"94260","21722"
"94260","72595"
"94263","21722"
"94263","72595"
"94263","120767"
"94264","21722"
"94264","72595"
"94264","204627"
"94265","43519"
"94265","72595"
"94265","94260"
"94265","94263"
"94681","21177"
"94681","42591"
"94681","57093"
"94681","128605"
"94681","200403"
"94687","27565"
"94687","100785"
"94687","148410"
"94689","71164"
"96789","12183"
"96789","93805"
"96789","128605"
"96960","5703"
"96960","42272"
"96960","46246"
"96960","66530"
"98316","118699"
"98993","19610"
"98993","43522"
"100449","5276"
"100626","26776"
"100626","75023"
"100784","191820"
"100784","314950"
"100785","94687"
"100785","132739"
"101738","24718"
"101738","27565"
"101929","149818"
"103460","10606"
"103460","82710"
"103460","230132"
"103684","88697"
"106121","24718"
"106121","27573"
"106211","21722"
"106211","32916"
"106214","21722"
"106214","32916"
"106214","130343"
"106214","130346"
"106803","19266"
"106803","57093"
"110164","26776"
"110164","79367"
"110164","110165"
"110164","145330"
"110165","26776"
"110165","79367"
"110165","110164"
"110165","145330"
"110273","26776"
"110900","25191"
"110900","252090"
"111189","4280"
"111189","87296"
"111189","87297"
"112836","12183"
"112836","86722"
"118699","40277"
"118699","98316"
"118699","178239"
"118699","178240"
"119259","83671"
"119259","83672"
"119259","83673"
"119259","120724"
"119259","168307"
"120724","83672"
"120724","83673"
"120724","119259"
"120724","168307"
"120724","174137"
"120767","94263"
"122659","87296"
"122659","87297"
"122678","10656"
"122678","122679"
"122678","220069"
"122679","122678"
"125194","239977"
"125194","280094"
"128605","94681"
"128605","96789"
"129443","43519"
"130327","21722"
"130343","21722"
"130343","32916"
"130343","106214"
"130343","130344"
"130344","21722"
"130344","106214"
"130344","130343"
"130346","21722"
"130346","106214"
"130346","130343"
"132739","27565"
"132739","100785"
"135341","16091"
"135341","247254"
"135783","24718"
"135783","101738"
"135783","135784"
"135784","24718"
"135784","27570"
"135784","101738"
"135784","135783"
"136392","26776"
"139853","42060"
"139853","168307"
"142855","10656"
"143340","167129"
"143340","177521"
"143365","24718"
"143365","27565"
"143365","27570"
"143365","60344"
"143861","26776"
"144206","75023"
"144206","100626"
"145330","26776"
"145330","79367"
"145330","110164"
"145330","110165"
"146564","87296"
"146564","87297"
"146564","146565"
"146565","19610"
"146565","83673"
"146565","146564"
"146565","259002"
"148410","71165"
"148410","94687"
"148410","208293"
"149818","101929"
"149818","186085"
"150042","35367"
"150042","44506"
"151244","308128"
"151244","308130"
"152165","83673"
"152165","176734"
"153558","21722"
"153558","27573"
"154664","62096"
"156612","27565"
"156612","61795"
"156612","62096"
"156612","192074"
"157417","5652"
"157417","9670"
"157417","9672"
"157417","16091"
"159605","21722"
"159605","94260"
"160357","10606"
"162475","26776"
"162475","162477"
"162477","162475"
"162759","21722"
"162759","94260"
"163316","21722"
"163316","106214"
"164303","16091"
"164541","10656"
"164541","40276"
"164542","40276"
"164542","48801"
"164542","182121"
"164542","218408"
"165234","24718"
"165234","27565"
"165234","191820"
"165743","42591"
"165743","42593"
"165743","42596"
"166251","19610"
"166251","48801"
"166251","174379"
"167127","167129"
"167127","167131"
"167127","177521"
"167129","167127"
"167129","167131"
"167129","177521"
"167131","167127"
"167131","167129"
"167131","177521"
"168307","83671"
"168307","119259"
"168327","163316"
"170271","182866"
"170637","26776"
"172992","43519"
"172992","54712"
"172992","83672"
"174137","120724"
"174379","10656"
"174379","19610"
"174379","43519"
"174379","83672"
"174379","166251"
"176732","176734"
"176732","176736"
"176734","152165"
"176734","176732"
"176734","176736"
"176736","43519"
"176736","208094"
"177521","143340"
"177521","167127"
"177521","167129"
"178198","212118"
"178239","27571"
"178239","98316"
"178239","118699"
"178239","178240"
"178240","27571"
"178240","98316"
"178240","118699"
"178240","178239"
"180110","42272"
"182121","21722"
"182121","280434"
"182866","170271"
"182866","186085"
"186085","149818"
"188046","57093"
"188778","10656"
"188778","16091"
"188778","222247"
"188778","230086"
"188779","10656"
"188779","16091"
"188779","21305"
"188779","42272"
"188779","43519"
"188780","188778"
"188780","188779"
"188780","222247"
"189561","43519"
"190568","5274"
"190568","284384"
"190568","284385"
"191820","27570"
"191820","94687"
"191820","100784"
"191820","165234"
"192074","24718"
"192074","27565"
"192074","61795"
"192074","156612"
"196046","61727"
"199787","21722"
"200403","94681"
"200548","21722"
"200549","42593"
"200864","27565"
"200864","216146"
"204627","72595"
"204627","94264"
"206633","27565"
"206633","27570"
"206633","71165"
"208094","21722"
"208094","43519"
"208094","176736"
